1.211627,13-14
1.701607,14-2
3.970856,5-14
4.728592,9-3
5.038330,8-5
7.348993,2-14
18.601189,11-7
25.853849,8-1
32.373728,14-10
33.502942,1-13
36.964960,9-5
38.422542,11-12
39.275495,12-11
39.780640,13-1
40.866527,5-1
52.673774,2-9
60.619083,10-14
68.013777,14-13
75.266335,13-6
76.233707,5-4
77.902516,13-14
82.340017,8-5
88.263707,2-7
96.942404,12-6
106.485493,5-2
106.893692,6-8
111.083321,11-3
116.095564,1-5
119.268632,8-1
120.149550,5-4
123.037069,9-10
123.458236,13-1
135.729984,13-2
144.757314,6-5
148.327049,6-14
149.933666,11-4
160.713287,14-5
164.535990,8-5
174.164922,7-9
182.643664,2-7
185.838816,3-6
188.243361,9-12
192.354452,5-8
194.892229,4-5
195.683899,10-2
197.321917,9-12
204.857027,2-5
205.055932,12-5
205.269364,10-5
209.699333,6-7
211.180310,13-2
214.622382,6-13
217.489876,5-13
219.379123,8-11
245.959316,12-1
246.938631,14-12
249.334345,8-12
250.353538,4-2
254.860202,14-9
256.315435,1-4
258.294507,2-5
264.478134,11-14
266.218044,13-8
269.897437,7-6
280.457563,4-1
280.936585,4-10
281.222740,12-5
282.392279,1-2
288.912151,8-6
293.212508,10-3
294.432206,14-6
296.241527,4-1
297.121075,12-6
299.885743,10-12
300.082639,11-2
305.460077,5-4
315.642093,5-9
329.570846,6-5
335.544889,5-2
350.014959,1-4
350.097556,5-14
351.632407,8-6
366.849577,10-5
373.566816,13-5
375.944426,5-13
388.860005,5-2
393.220182,11-4
400.885266,4-5
402.448139,7-5
403.404253,10-9
406.046846,3-2
406.706947,7-8
408.869988,5-8
423.563732,14-9
425.374669,2-4
425.417153,1-13
425.623395,10-13
426.459532,14-12
433.350382,3-11
435.377870,13-5
436.921196,5-11
437.380852,11-10
455.396675,2-4
457.878718,9-11
458.927618,14-11
459.202897,6-3
459.458753,5-7
460.290032,5-12
465.373087,1-10
466.102520,1-6
466.290404,11-4
469.326349,13-5
470.615274,6-2
497.829578,1-8
498.416468,8-13
501.806814,4-5
508.495168,3-11
510.864341,13-6
530.640479,14-3
533.563822,13-2
534.809827,10-11
537.188925,7-3
537.357972,12-8
539.818728,3-5
541.104821,12-5
551.009029,4-10
559.010638,10-6
562.117036,10-13
562.261766,5-14
563.582774,11-5
564.831909,6-14
565.881653,14-8
567.066374,13-7
576.237324,5-12
576.924940,5-10
577.161798,5-11
589.003773,14-9
592.753177,9-2
613.740883,1-3
616.061869,12-2
626.466554,5-1
631.242134,14-9
638.283466,5-8
644.427851,1-10
647.495897,3-9
647.934701,5-1
649.000703,5-4
658.315418,7-4
668.666347,9-11
680.297263,7-3
682.143889,8-12
686.957807,10-6
694.189147,5-7
698.817860,12-2
706.406931,9-12
709.785652,10-13
714.571109,5-11
719.783164,2-8
721.188889,3-10
732.714988,12-11
746.799665,6-10
747.147479,1-10
763.093266,13-2
777.782321,9-11
782.748885,2-7
782.953934,5-14
793.269442,7-9
793.883894,14-11
809.448846,13-12
814.399671,1-12
814.680423,5-7
815.504106,8-6
820.041807,3-13
823.831370,3-10
830.007035,11-2
841.814612,14-8
842.924281,6-5
842.939034,13-6
854.439676,14-10
854.499062,9-3
863.908092,5-12
864.462374,7-1
871.932642,12-10
878.807375,2-8
888.269676,13-7
891.869049,14-4
901.362024,2-5
902.375571,11-4
907.384804,11-5
909.191275,7-9
919.196180,7-5
925.880194,11-5
928.749986,9-2
932.113333,14-4
932.233699,13-14
932.390214,1-2
936.451923,10-1
939.471672,10-2
948.473505,2-10
952.689162,8-7
953.361391,5-7
955.387787,3-11
961.954219,3-9
965.285164,4-14
965.332897,2-3
973.514980,5-4
981.424696,11-1
981.825130,3-13
985.352683,14-6
987.512257,14-7
994.479535,12-8
996.156954,5-8
997.354775,7-5
1000.355381,2-13
1015.608684,3-12
1016.058470,13-14
1016.605435,10-6
1020.970966,5-11
1030.717108,7-6
1033.949966,7-1
1036.510820,13-7
1045.289555,10-12
1052.033839,6-11
1052.345518,7-13
1061.936665,13-5
1062.917543,14-11
1064.537425,1-5
1072.685069,5-4
1075.155503,2-11
1082.360975,8-11
1083.185260,5-1
1092.517157,8-5
1093.390205,3-2
1094.117873,10-9
1097.185627,5-11
1099.045809,12-4
1102.558451,5-4
1113.107174,5-13
1118.685556,12-11
1118.710656,8-1
1120.392309,9-5
1123.935360,10-7
1126.934692,9-4
1132.592662,11-9
1135.572256,7-4
1135.926414,9-1
1137.193713,1-13
1145.658440,1-5
1147.644222,5-9
1154.193077,7-14
1173.339895,3-1
1177.774080,3-12
1182.855830,2-5
1187.087705,1-12
1188.778885,12-5
1199.756376,13-2
1202.588175,13-11
1213.494893,4-3
1215.136402,8-10
1224.232565,12-4
1231.188468,6-11
1235.460450,5-12
1238.086262,8-5
1238.768459,14-3
1245.402437,7-4
1247.426080,11-14
1252.308427,4-14
1252.951972,13-5
1253.339729,2-13
1254.039087,3-7
1261.489280,7-13
1262.369533,9-5
1272.818099,3-14
1274.911482,7-14
1278.772394,6-5
1280.713971,13-4
1285.077939,13-9
1285.519515,11-4
1287.837377,12-10
1300.220546,10-13
1301.111795,5-2
1305.891006,5-1
1307.670861,13-5
1309.279630,5-14
1309.385128,10-12
1309.476499,14-3
1322.902919,4-14
1330.870745,13-10
1338.138135,12-10
1345.546764,12-10
1359.337941,12-2
1360.114319,7-9
1364.062961,14-5
1367.139495,5-4
1370.977986,8-14
1383.484368,6-1
1389.911117,8-5
1405.467273,5-14
1406.026313,11-8
1410.770564,12-5
1415.833743,12-13
1421.986516,12-7
1426.315455,10-5
1434.322815,8-14
1435.946308,9-11
1447.775085,9-8
1450.119871,2-6
1454.232326,1-6
1464.455471,2-3
1469.927516,14-2
1471.595194,3-5
1472.773490,13-3
1474.552977,11-2
1478.988322,13-12
1504.370902,7-1
1514.688551,6-5
1516.988894,7-5
1519.292562,13-8
1526.946871,5-10
1528.448771,10-8
1530.835067,9-8
1530.894786,2-3
1531.809226,7-5
1535.305541,6-11
1540.623869,5-14
1544.916367,6-9
1546.955008,12-8
1560.532791,4-5
1564.925324,1-2
1565.688817,6-4
1566.004349,8-4
1582.391621,4-9
1602.227019,2-13
1613.590781,2-4
1617.757084,1-13
1619.441483,14-5
1619.872509,3-14
1621.214744,9-5
1622.345308,3-14
1634.200504,4-5
1644.239368,5-8
1651.010575,4-9
1651.735176,10-5
1652.960380,6-14
1654.560364,13-6
1667.858467,6-1
1668.660876,1-8
1675.693280,8-10
1680.830538,2-6
1684.395266,1-10
1698.801504,1-9
1700.170704,7-11
1703.514694,10-13
1704.286014,4-7
1704.743979,6-1
1704.889166,3-5
1706.601666,9-12
1707.185983,7-12
1707.470443,11-5
1729.515704,2-5
1731.050935,14-5
1740.993164,10-1
1746.440889,11-10
1752.355050,13-7
1757.146339,14-5
1770.868666,5-14
1780.353244,14-8
1786.072494,13-8
1789.766476,14-8
1795.091742,5-8
1800.880054,2-4
1804.496940,9-10
1807.639103,8-13
1808.392736,4-1
1816.762974,14-5
1819.742065,1-4
1820.058006,4-7
